hand,hero_win,villain_win,tie
9h9s,0.764,0.228,0.008
9hTc,0.522,0.442,0.036
9hTd,0.518,0.45,0.032
9hTh,0.548,0.422,0.03
9hTs,0.49,0.492,0.018
9hJc,0.534,0.42,0.046
9hJd,0.516,0.448,0.036
9hJh,0.534,0.43,0.036
9hJs,0.52,0.444,0.036
9hQc,0.506,0.452,0.042
9hQd,0.524,0.442,0.034
9hQh,0.538,0.418,0.044
9hQs,0.514,0.456,0.03
9hKc,0.536,0.438,0.026
9hKd,0.56,0.418,0.022
9hKh,0.588,0.378,0.034
9hKs,0.57,0.394,0.036
9hAc,0.6,0.362,0.038
9hAd,0.626,0.344,0.03
9hAh,0.604,0.37,0.026
9hAs,0.578,0.394,0.028
9sTc,0.508,0.444,0.048
9sTd,0.528,0.432,0.04
9sTh,0.502,0.468,0.03
9sTs,0.496,0.472,0.032
9sJc,0.51,0.45,0.04
9sJd,0.46,0.496,0.044
9sJh,0.532,0.442,0.026
9sJs,0.532,0.438,0.03
9sQc,0.536,0.436,0.028
9sQd,0.506,0.482,0.012
9sQh,0.556,0.418,0.026
9sQs,0.584,0.39,0.026
9sKc,0.574,0.392,0.034
9sKd,0.572,0.392,0.036
9sKh,0.566,0.39,0.044
9sKs,0.582,0.394,0.024
9sAc,0.614,0.372,0.014
9sAd,0.564,0.408,0.028
9sAh,0.58,0.392,0.028
9sAs,0.606,0.374,0.02
TcTd,0.748,0.242,0.01
TcTh,0.774,0.224,0.002
TcTs,0.762,0.228,0.01
TcJc,0.582,0.402,0.016
TcJd,0.544,0.426,0.03
TcJh,0.54,0.434,0.026
TcJs,0.5,0.472,0.028
TcQc,0.6,0.382,0.018
TcQd,0.564,0.402,0.034
TcQh,0.506,0.458,0.036
TcQs,0.564,0.406,0.03
TcKc,0.61,0.362,0.028
TcKd,0.596,0.372,0.032
TcKh,0.574,0.4,0.026
TcKs,0.602,0.372,0.026
TcAc,0.652,0.322,0.026
TcAd,0.596,0.388,0.016
TcAh,0.6,0.376,0.024
TcAs,0.564,0.404,0.032
TdTh,0.74,0.25,0.01
TdTs,0.754,0.236,0.01
TdJc,0.55,0.42,0.03
TdJd,0.58,0.394,0.026
TdJh,0.554,0.424,0.022
TdJs,0.512,0.456,0.032
TdQc,0.566,0.416,0.018
TdQd,0.58,0.392,0.028
TdQh,0.574,0.402,0.024
TdQs,0.586,0.394,0.02
TdKc,0.552,0.424,0.024
TdKd,0.612,0.366,0.022
TdKh,0.624,0.36,0.016
TdKs,0.594,0.378,0.028
TdAc,0.58,0.394,0.026
TdAd,0.62,0.364,0.016
TdAh,0.558,0.408,0.034
TdAs,0.646,0.342,0.012
ThTs,0.77,0.226,0.004
ThJc,0.568,0.416,0.016
ThJd,0.57,0.408,0.022
ThJh,0.548,0.424,0.028
ThJs,0.536,0.434,0.03
ThQc,0.55,0.43,0.02
ThQd,0.55,0.414,0.036
ThQh,0.554,0.42,0.026
ThQs,0.548,0.422,0.03
ThKc,0.596,0.38,0.024
ThKd,0.604,0.38,0.016
ThKh,0.616,0.374,0.01
ThKs,0.57,0.408,0.022
ThAc,0.66,0.326,0.014
ThAd,0.592,0.386,0.022
ThAh,0.674,0.31,0.016
ThAs,0.59,0.39,0.02
TsJc,0.546,0.418,0.036
TsJd,0.552,0.416,0.032
TsJh,0.506,0.462,0.032
TsJs,0.56,0.41,0.03
TsQc,0.526,0.436,0.038
TsQd,0.54,0.428,0.032
TsQh,0.566,0.406,0.028
TsQs,0.582,0.39,0.028
TsKc,0.582,0.382,0.036
TsKd,0.58,0.392,0.028
TsKh,0.63,0.354,0.016
TsKs,0.604,0.378,0.018
TsAc,0.6,0.382,0.018
TsAd,0.638,0.332,0.03
TsAh,0.638,0.33,0.032
TsAs,0.642,0.334,0.024
JcJd,0.786,0.208,0.006
JcJh,0.788,0.206,0.006
JcJs,0.76,0.236,0.004
JcQc,0.624,0.35,0.026
JcQd,0.564,0.416,0.02
JcQh,0.562,0.408,0.03
JcQs,0.596,0.378,0.026
JcKc,0.596,0.38,0.024
JcKd,0.622,0.356,0.022
JcKh,0.592,0.384,0.024
JcKs,0.594,0.384,0.022
JcAc,0.638,0.348,0.014
JcAd,0.602,0.382,0.016
JcAh,0.652,0.332,0.016
JcAs,0.638,0.342,0.02
JdJh,0.788,0.206,0.006
JdJs,0.782,0.214,0.004
JdQc,0.568,0.404,0.028
JdQd,0.572,0.386,0.042
JdQh,0.584,0.384,0.032
JdQs,0.56,0.412,0.028
JdKc,0.628,0.356,0.016
JdKd,0.614,0.37,0.016
JdKh,0.578,0.4,0.022
JdKs,0.6,0.382,0.018
JdAc,0.654,0.322,0.024
JdAd,0.64,0.352,0.008
JdAh,0.63,0.356,0.014
JdAs,0.64,0.344,0.016
JhJs,0.756,0.24,0.004
JhQc,0.576,0.39,0.034
JhQd,0.56,0.414,0.026
JhQh,0.59,0.4,0.01
JhQs,0.564,0.408,0.028
JhKc,0.596,0.372,0.032
JhKd,0.572,0.414,0.014
JhKh,0.63,0.35,0.02
JhKs,0.592,0.388,0.02
JhAc,0.582,0.396,0.022
JhAd,0.642,0.332,0.026
JhAh,0.634,0.334,0.032
JhAs,0.632,0.352,0.016
JsQc,0.6,0.38,0.02
JsQd,0.584,0.394,0.022
JsQh,0.56,0.416,0.024
JsQs,0.58,0.388,0.032
JsKc,0.594,0.386,0.02
JsKd,0.586,0.388,0.026
JsKh,0.586,0.39,0.024
